State,County,Location,ANSI Code,State Initial
Illinois,Woodford,"Woodford County, Illinois",17203,IL
Indiana,Adams,"Adams County, Indiana",18001,IN
Indiana,Allen,"Allen County, Indiana",18003,IN
Indiana,Bartholomew,"Bartholomew County, Indiana",18005,IN
Indiana,Benton,"Benton County, Indiana",18007,IN
Indiana,Boone,"Boone County, Indiana",18011,IN
Indiana,Carroll,"Carroll County, Indiana",18015,IN
Indiana,Clark,"Clark County, Indiana",18019,IN
Indiana,Daviess,"Daviess County, Indiana",18027,IN
Indiana,De Kalb,"De Kalb County, Indiana",18033,IN
Indiana,Dearborn,"Dearborn County, Indiana",18029,IN
Indiana,Decatur,"Decatur County, Indiana",18031,IN
Indiana,Delaware,"Delaware County, Indiana",18035,IN
Indiana,Dubois,"Dubois County, Indiana",18037,IN
Indiana,Fayette,"Fayette County, Indiana",18041,IN
Indiana,Franklin,"Franklin County, Indiana",18047,IN
Indiana,Fulton,"Fulton County, Indiana",18049,IN
Indiana,Gibson,"Gibson County, Indiana",18051,IN
Indiana,Hamilton,"Hamilton County, Indiana",18057,IN
Indiana,Hancock,"Hancock County, Indiana",18059,IN
Indiana,Harrison,"Harrison County, Indiana",18061,IN
Indiana,Hendricks,"Hendricks County, Indiana",18063,IN
Indiana,Howard,"Howard County, Indiana",18067,IN
Indiana,Huntington,"Huntington County, Indiana",18069,IN
Indiana,Jay,"Jay County, Indiana",18075,IN
Indiana,Jennings,"Jennings County, Indiana",18079,IN
Indiana,Kosciusko,"Kosciusko County, Indiana",18085,IN
Indiana,La Porte,"La Porte County, Indiana",18091,IN
Indiana,Lagrange,"Lagrange County, Indiana",18087,IN
Indiana,Lake,"Lake County, Indiana",18089,IN
Indiana,Madison,"Madison County, Indiana",18095,IN
Indiana,Marshall,"Marshall County, Indiana",18099,IN
Indiana,Miami,"Miami County, Indiana",18103,IN
Indiana,Monroe,"Monroe County, Indiana",18105,IN
Indiana,Montgomery,"Montgomery County, Indiana",18107,IN
Indiana,Newton,"Newton County, Indiana",18111,IN
Indiana,Noble,"Noble County, Indiana",18113,IN
Indiana,Orange,"Orange County, Indiana",18117,IN
Indiana,Porter,"Porter County, Indiana",18127,IN
Indiana,Posey,"Posey County, Indiana",18129,IN
Indiana,Pulaski,"Pulaski County, Indiana",18131,IN
Indiana,Putnam,"Putnam County, Indiana",18133,IN
Indiana,Randolph,"Randolph County, Indiana",18135,IN
Indiana,Ripley,"Ripley County, Indiana",18137,IN
Indiana,Rush,"Rush County, Indiana",18139,IN
Indiana,Shelby,"Shelby County, Indiana",18145,IN
Indiana,Spencer,"Spencer County, Indiana",18147,IN
Indiana,St. Joseph,"St. Joseph County, Indiana",18141,IN
Indiana,Tippecanoe,"Tippecanoe County, Indiana",18157,IN
Indiana,Tipton,"Tipton County, Indiana",18159,IN
Indiana,Union,"Union County, Indiana",18161,IN
Indiana,Vanderburgh,"Vanderburgh County, Indiana",18163,IN
Indiana,Vermillion,"Vermillion County, Indiana",18165,IN
Indiana,Wabash,"Wabash County, Indiana",18169,IN
Indiana,Warren,"Warren County, Indiana",18171,IN
Indiana,Warrick,"Warrick County, Indiana",18173,IN
Indiana,Washington,"Washington County, Indiana",18175,IN
Indiana,Wayne,"Wayne County, Indiana",18177,IN
Indiana,White,"White County, Indiana",18181,IN
Indiana,Whitley,"Whitley County, Indiana",18183,IN
Iowa,Adair,"Adair County, Iowa",19001,IA
Iowa,Allamakee,"Allamakee County, Iowa",19005,IA
Iowa,Audubon,"Audubon County, Iowa",19009,IA
Iowa,Benton,"Benton County, Iowa",19011,IA
Iowa,Black Hawk,"Black Hawk County, Iowa",19013,IA
Iowa,Boone,"Boone County, Iowa",19015,IA
Iowa,Bremer,"Bremer County, Iowa",19017,IA
Iowa,Buchanan,"Buchanan County, Iowa",19019,IA
Iowa,Buena Vista,"Buena Vista County, Iowa",19021,IA
Iowa,Butler,"Butler County, Iowa",19023,IA
Iowa,Calhoun,"Calhoun County, Iowa",19025,IA
Iowa,Carroll,"Carroll County, Iowa",19027,IA
Iowa,Cass,"Cass County, Iowa",19029,IA
Iowa,Cedar,"Cedar County, Iowa",19031,IA
Iowa,Cerro Gordo,"Cerro Gordo County, Iowa",19033,IA
Iowa,Cherokee,"Cherokee County, Iowa",19035,IA
Iowa,Chickasaw,"Chickasaw County, Iowa",19037,IA
Iowa,Clay,"Clay County, Iowa",19041,IA
Iowa,Clayton,"Clayton County, Iowa",19043,IA
Iowa,Clinton,"Clinton County, Iowa",19045,IA
Iowa,Crawford,"Crawford County, Iowa",19047,IA
Iowa,Dallas,"Dallas County, Iowa",19049,IA
Iowa,Davis,"Davis County, Iowa",19051,IA
Iowa,Delaware,"Delaware County, Iowa",19055,IA
Iowa,Des Moines,"Des Moines County, Iowa",19057,IA
Iowa,Dickinson,"Dickinson County, Iowa",19059,IA
Iowa,Dubuque,"Dubuque County, Iowa",19061,IA
Iowa,Fayette,"Fayette County, Iowa",19065,IA
Iowa,Floyd,"Floyd County, Iowa",19067,IA
Iowa,Franklin,"Franklin County, Iowa",19069,IA
Iowa,Greene,"Greene County, Iowa",19073,IA
Iowa,Grundy,"Grundy County, Iowa",19075,IA
Iowa,Guthrie,"Guthrie County, Iowa",19077,IA
Iowa,Hamilton,"Hamilton County, Iowa",19079,IA
Iowa,Hancock,"Hancock County, Iowa",19081,IA
Iowa,Hardin,"Hardin County, Iowa",19083,IA
Iowa,Henry,"Henry County, Iowa",19087,IA
Iowa,Howard,"Howard County, Iowa",19089,IA
Iowa,Humboldt,"Humboldt County, Iowa",19091,IA
Iowa,Iowa,"Iowa County, Iowa",19095,IA
Iowa,Jackson,"Jackson County, Iowa",19097,IA
Iowa,Jefferson,"Jefferson County, Iowa",19101,IA
Iowa,Johnson,"Johnson County, Iowa",19103,IA
Iowa,Jones,"Jones County, Iowa",19105,IA
Iowa,Keokuk,"Keokuk County, Iowa",19107,IA
Iowa,Kossuth,"Kossuth County, Iowa",19109,IA
Iowa,Lee,"Lee County, Iowa",19111,IA
Iowa,Linn,"Linn County, Iowa",19113,IA
Iowa,Louisa,"Louisa County, Iowa",19115,IA
Iowa,Lyon,"Lyon County, Iowa",19119,IA
Iowa,Madison,"Madison County, Iowa",19121,IA
Iowa,Mahaska,"Mahaska County, Iowa",19123,IA
Iowa,Mitchell,"Mitchell County, Iowa",19131,IA
Iowa,Monona,"Monona County, Iowa",19133,IA
Iowa,Monroe,"Monroe County, Iowa",19135,IA
Iowa,Montgomery,"Montgomery County, Iowa",19137,IA
Iowa,Muscatine,"Muscatine County, Iowa",19139,IA
Iowa,O Brien,"O Brien County, Iowa",19141,IA
Iowa,Osceola,"Osceola County, Iowa",19143,IA
Iowa,Page,"Page County, Iowa",19145,IA
Iowa,Palo Alto,"Palo Alto County, Iowa",19147,IA
Iowa,Polk,"Polk County, Iowa",19153,IA
Iowa,Poweshiek,"Poweshiek County, Iowa",19157,IA
Iowa,Sac,"Sac County, Iowa",19161,IA
Iowa,Scott,"Scott County, Iowa",19163,IA
Iowa,Shelby,"Shelby County, Iowa",19165,IA
Iowa,Sioux,"Sioux County, Iowa",19167,IA
Iowa,Story,"Story County, Iowa",19169,IA
Iowa,Tama,"Tama County, Iowa",19171,IA
Iowa,Union,"Union County, Iowa",19175,IA
Iowa,Van Buren,"Van Buren County, Iowa",19177,IA
Iowa,Wapello,"Wapello County, Iowa",19179,IA
Iowa,Warren,"Warren County, Iowa",19181,IA
Iowa,Washington,"Washington County, Iowa",19183,IA
Iowa,Webster,"Webster County, Iowa",19187,IA
Iowa,Winnebago,"Winnebago County, Iowa",19189,IA
Iowa,Winneshiek,"Winneshiek County, Iowa",19191,IA
Iowa,Woodbury,"Woodbury County, Iowa",19193,IA
Iowa,Worth,"Worth County, Iowa",19195,IA
Iowa,Wright,"Wright County, Iowa",19197,IA
Kansas,Anderson,"Anderson County, Kansas",20003,KS
Kansas,Atchison,"Atchison County, Kansas",20005,KS
Kansas,Barton,"Barton County, Kansas",20009,KS
Kansas,Brown,"Brown County, Kansas",20013,KS
Kansas,Butler,"Butler County, Kansas",20015,KS
Kansas,Clay,"Clay County, Kansas",20027,KS
Kansas,Dickinson,"Dickinson County, Kansas",20041,KS
Kansas,Douglas,"Douglas County, Kansas",20045,KS
Kansas,Harvey,"Harvey County, Kansas",20079,KS
Kansas,Jackson,"Jackson County, Kansas",20085,KS
Kansas,Jewell,"Jewell County, Kansas",20089,KS
Kansas,Leavenworth,"Leavenworth County, Kansas",20103,KS
Kansas,Marion,"Marion County, Kansas",20115,KS
Kansas,Marshall,"Marshall County, Kansas",20117,KS
Kansas,Mcpherson,"Mcpherson County, Kansas",20113,KS
Kansas,Miami,"Miami County, Kansas",20121,KS
Kansas,Mitchell,"Mitchell County, Kansas",20123,KS
Kansas,Morris,"Morris County, Kansas",20127,KS
Kansas,Morton,"Morton County, Kansas",20129,KS
Kansas,Osage,"Osage County, Kansas",20139,KS
Kansas,Ottawa,"Ottawa County, Kansas",20143,KS
Kansas,Pawnee,"Pawnee County, Kansas",20145,KS
Kansas,Pottawatomie,"Pottawatomie County, Kansas",20149,KS
Kansas,Reno,"Reno County, Kansas",20155,KS
Kansas,Republic,"Republic County, Kansas",20157,KS
Kansas,Saline,"Saline County, Kansas",20169,KS
Kansas,Sedgwick,"Sedgwick County, Kansas",20173,KS
Kansas,Shawnee,"Shawnee County, Kansas",20177,KS
Kansas,Sherman,"Sherman County, Kansas",20181,KS
Kansas,Sumner,"Sumner County, Kansas",20191,KS
Kentucky,Boone,"Boone County, Kentucky",21015,KY
Kentucky,Breckinridge,"Breckinridge County, Kentucky",21027,KY
Kentucky,Bullitt,"Bullitt County, Kentucky",21029,KY
Kentucky,Butler,"Butler County, Kentucky",21031,KY
Kentucky,Caldwell,"Caldwell County, Kentucky",21033,KY
Kentucky,Calloway,"Calloway County, Kentucky",21035,KY
Kentucky,Christian,"Christian County, Kentucky",21047,KY
Kentucky,Clark,"Clark County, Kentucky",21049,KY
Kentucky,Daviess,"Daviess County, Kentucky",21059,KY
Kentucky,Edmonson,"Edmonson County, Kentucky",21061,KY
Kentucky,Fayette,"Fayette County, Kentucky",21067,KY
Kentucky,Fulton,"Fulton County, Kentucky",21075,KY
Kentucky,Hardin,"Hardin County, Kentucky",21093,KY
Kentucky,Hart,"Hart County, Kentucky",21099,KY
Kentucky,Henry,"Henry County, Kentucky",21103,KY
Kentucky,Hickman,"Hickman County, Kentucky",21105,KY
Kentucky,Logan,"Logan County, Kentucky",21141,KY
Kentucky,Marion,"Marion County, Kentucky",21155,KY
Kentucky,Mason,"Mason County, Kentucky",21161,KY
Kentucky,Meade,"Meade County, Kentucky",21163,KY
Kentucky,Ohio,"Ohio County, Kentucky",21183,KY
Kentucky,Oldham,"Oldham County, Kentucky",21185,KY
Kentucky,Pulaski,"Pulaski County, Kentucky",21199,KY
Kentucky,Russell,"Russell County, Kentucky",21207,KY
Kentucky,Shelby,"Shelby County, Kentucky",21211,KY
Kentucky,Simpson,"Simpson County, Kentucky",21213,KY
Kentucky,Todd,"Todd County, Kentucky",21219,KY
Kentucky,Trigg,"Trigg County, Kentucky",21221,KY
Kentucky,Trimble,"Trimble County, Kentucky",21223,KY
Kentucky,Union,"Union County, Kentucky",21225,KY
Kentucky,Warren,"Warren County, Kentucky",21227,KY
Kentucky,Wayne,"Wayne County, Kentucky",21231,KY
Kentucky,Webster,"Webster County, Kentucky",21233,KY
Kentucky,Woodford,"Woodford County, Kentucky",21239,KY
Louisiana,Acadia,"Acadia County, Louisiana",22001,LA
Louisiana,Avoyelles,"Avoyelles County, Louisiana",22009,LA
Louisiana,Caddo,"Caddo County, Louisiana",22017,LA
Louisiana,Catahoula,"Catahoula County, Louisiana",22025,LA
Louisiana,Concordia,"Concordia County, Louisiana",22029,LA
Louisiana,East Carroll,"East Carroll County, Louisiana",22035,LA
Louisiana,Franklin,"Franklin County, Louisiana",22041,LA
Louisiana,Madison,"Madison County, Louisiana",22065,LA
Louisiana,Morehouse,"Morehouse County, Louisiana",22067,LA
Louisiana,Pointe Coupee,"Pointe Coupee County, Louisiana",22077,LA
Louisiana,Rapides,"Rapides County, Louisiana",22079,LA
Louisiana,Richland,"Richland County, Louisiana",22083,LA
Louisiana,Saint Landry,"Saint Landry County, Louisiana",22097,LA
Louisiana,Saint Martin,"Saint Martin County, Louisiana",22099,LA
Louisiana,Tensas,"Tensas County, Louisiana",22107,LA
Louisiana,West Carroll,"West Carroll County, Louisiana",22123,LA
Maryland,Caroline,"Caroline County, Maryland",24011,MD
Maryland,Carroll,"Carroll County, Maryland",24013,MD
Maryland,Dorchester,"Dorchester County, Maryland",24019,MD
Maryland,Frederick,"Frederick County, Maryland",24021,MD
Maryland,Harford,"Harford County, Maryland",24025,MD
Maryland,Kent,"Kent County, Maryland",24029,MD
Maryland,Somerset,"Somerset County, Maryland",24039,MD
Maryland,Wicomico,"Wicomico County, Maryland",24045,MD
Maryland,Worcester,"Worcester County, Maryland",24047,MD
Michigan,Allegan,"Allegan County, Michigan",26005,MI
Michigan,Arenac,"Arenac County, Michigan",26011,MI
Michigan,Barry,"Barry County, Michigan",26015,MI
Michigan,Bay,"Bay County, Michigan",26017,MI
Michigan,Branch,"Branch County, Michigan",26023,MI
Michigan,Calhoun,"Calhoun County, Michigan",26025,MI
Michigan,Cass,"Cass County, Michigan",26027,MI
Michigan,Clinton,"Clinton County, Michigan",26037,MI
Michigan,Eaton,"Eaton County, Michigan",26045,MI
Michigan,Genesee,"Genesee County, Michigan",26049,MI
Michigan,Gratiot,"Gratiot County, Michigan",26057,MI
Michigan,Hillsdale,"Hillsdale County, Michigan",26059,MI
Michigan,Huron,"Huron County, Michigan",26063,MI
Michigan,Ingham,"Ingham County, Michigan",26065,MI
Michigan,Ionia,"Ionia County, Michigan",26067,MI
Michigan,Isabella,"Isabella County, Michigan",26073,MI
Michigan,Jackson,"Jackson County, Michigan",26075,MI
Michigan,Kalamazoo,"Kalamazoo County, Michigan",26077,MI
Michigan,Kent,"Kent County, Michigan",26081,MI
Michigan,Lapeer,"Lapeer County, Michigan",26087,MI
Michigan,Lenawee,"Lenawee County, Michigan",26091,MI
Michigan,Livingston,"Livingston County, Michigan",26093,MI
Michigan,Macomb,"Macomb County, Michigan",26099,MI
Michigan,Mason,"Mason County, Michigan",26105,MI
Michigan,Mecosta,"Mecosta County, Michigan",26107,MI
Michigan,Midland,"Midland County, Michigan",26111,MI
Michigan,Monroe,"Monroe County, Michigan",26115,MI
Michigan,Montcalm,"Montcalm County, Michigan",26117,MI
Michigan,Newaygo,"Newaygo County, Michigan",26123,MI
Michigan,Saginaw,"Saginaw County, Michigan",26145,MI
Michigan,Sanilac,"Sanilac County, Michigan",26151,MI
Michigan,Shiawassee,"Shiawassee County, Michigan",26155,MI
Michigan,St Clair,"St Clair County, Michigan",26147,MI
Michigan,Tuscola,"Tuscola County, Michigan",26157,MI
Michigan,Washtenaw,"Washtenaw County, Michigan",26161,MI
Minnesota,Benton,"Benton County, Minnesota",27009,MN
Minnesota,Big Stone,"Big Stone County, Minnesota",27011,MN
Minnesota,Blue Earth,"Blue Earth County, Minnesota",27013,MN
Minnesota,Brown,"Brown County, Minnesota",27015,MN
Minnesota,Carver,"Carver County, Minnesota",27019,MN
Minnesota,Chippewa,"Chippewa County, Minnesota",27023,MN
Minnesota,Chisago,"Chisago County, Minnesota",27025,MN
Minnesota,Clay,"Clay County, Minnesota",27027,MN
Minnesota,Cottonwood,"Cottonwood County, Minnesota",27033,MN
Minnesota,Dakota,"Dakota County, Minnesota",27037,MN
Minnesota,Dodge,"Dodge County, Minnesota",27039,MN
Minnesota,Faribault,"Faribault County, Minnesota",27043,MN
Minnesota,Fillmore,"Fillmore County, Minnesota",27045,MN
Minnesota,Freeborn,"Freeborn County, Minnesota",27047,MN
Minnesota,Goodhue,"Goodhue County, Minnesota",27049,MN
Minnesota,Hennepin,"Hennepin County, Minnesota",27053,MN
Minnesota,Houston,"Houston County, Minnesota",27055,MN
Minnesota,Isanti,"Isanti County, Minnesota",27059,MN
Minnesota,Jackson,"Jackson County, Minnesota",27063,MN
Minnesota,Lac Qui Parle,"Lac Qui Parle County, Minnesota",27073,MN
Minnesota,Lyon,"Lyon County, Minnesota",27083,MN
Minnesota,Marshall,"Marshall County, Minnesota",27089,MN
Minnesota,Martin,"Martin County, Minnesota",27091,MN
Minnesota,Mcleod,"Mcleod County, Minnesota",27085,MN
Minnesota,Morrison,"Morrison County, Minnesota",27097,MN
Minnesota,Mower,"Mower County, Minnesota",27099,MN
Minnesota,Murray,"Murray County, Minnesota",27101,MN
Minnesota,Nicollet,"Nicollet County, Minnesota",27103,MN
Minnesota,Nobles,"Nobles County, Minnesota",27105,MN
Minnesota,Olmsted,"Olmsted County, Minnesota",27109,MN
Minnesota,Otter Tail,"Otter Tail County, Minnesota",27111,MN
Minnesota,Polk,"Polk County, Minnesota",27119,MN
Minnesota,Pope,"Pope County, Minnesota",27121,MN
Minnesota,Redwood,"Redwood County, Minnesota",27127,MN
Minnesota,Renville,"Renville County, Minnesota",27129,MN
Minnesota,Rock,"Rock County, Minnesota",27133,MN
Minnesota,Sibley,"Sibley County, Minnesota",27143,MN
Minnesota,Stearns,"Stearns County, Minnesota",27145,MN
Minnesota,Steele,"Steele County, Minnesota",27147,MN
Minnesota,Stevens,"Stevens County, Minnesota",27149,MN
Minnesota,Swift,"Swift County, Minnesota",27151,MN
Minnesota,Todd,"Todd County, Minnesota",27153,MN
Minnesota,Traverse,"Traverse County, Minnesota",27155,MN
Minnesota,Wabasha,"Wabasha County, Minnesota",27157,MN
Minnesota,Wadena,"Wadena County, Minnesota",27159,MN
Minnesota,Waseca,"Waseca County, Minnesota",27161,MN
Minnesota,Washington,"Washington County, Minnesota",27163,MN
Minnesota,Watonwan,"Watonwan County, Minnesota",27165,MN
Minnesota,Winona,"Winona County, Minnesota",27169,MN
Minnesota,Yellow Medicine,"Yellow Medicine County, Minnesota",27173,MN
Mississippi,Alcorn,"Alcorn County, Mississippi",28003,MS
Mississippi,Benton,"Benton County, Mississippi",28009,MS
Mississippi,Bolivar,"Bolivar County, Mississippi",28011,MS
Mississippi,Calhoun,"Calhoun County, Mississippi",28013,MS
Mississippi,Carroll,"Carroll County, Mississippi",28015,MS
Mississippi,Coahoma,"Coahoma County, Mississippi",28027,MS
Mississippi,De Soto,"De Soto County, Mississippi",28033,MS
Mississippi,Hinds,"Hinds County, Mississippi",28049,MS
Mississippi,Holmes,"Holmes County, Mississippi",28051,MS
Mississippi,Humphreys,"Humphreys County, Mississippi",28053,MS
Mississippi,Issaquena,"Issaquena County, Mississippi",28055,MS
Mississippi,Leflore,"Leflore County, Mississippi",28083,MS
Mississippi,Lowndes,"Lowndes County, Mississippi",28087,MS
Mississippi,Madison,"Madison County, Mississippi",28089,MS
Mississippi,Marshall,"Marshall County, Mississippi",28093,MS
Mississippi,Monroe,"Monroe County, Mississippi",28095,MS
Mississippi,Noxubee,"Noxubee County, Mississippi",28103,MS
Mississippi,Panola,"Panola County, Mississippi",28107,MS
Mississippi,Pontotoc,"Pontotoc County, Mississippi",28115,MS
Mississippi,Prentiss,"Prentiss County, Mississippi",28117,MS
Mississippi,Quitman,"Quitman County, Mississippi",28119,MS
Mississippi,Sharkey,"Sharkey County, Mississippi",28125,MS
Mississippi,Sunflower,"Sunflower County, Mississippi",28133,MS
Mississippi,Tallahatchie,"Tallahatchie County, Mississippi",28135,MS
Mississippi,Tate,"Tate County, Mississippi",28137,MS
Mississippi,Tunica,"Tunica County, Mississippi",28143,MS
Mississippi,Union,"Union County, Mississippi",28145,MS
Mississippi,Washington,"Washington County, Mississippi",28151,MS
Mississippi,Yazoo,"Yazoo County, Mississippi",28163,MS
Missouri,Audrain,"Audrain County, Missouri",29007,MO
Missouri,Barton,"Barton County, Missouri",29011,MO
Missouri,Boone,"Boone County, Missouri",29019,MO
Missouri,Carroll,"Carroll County, Missouri",29033,MO
Missouri,Clinton,"Clinton County, Missouri",29049,MO
Missouri,Cole,"Cole County, Missouri",29051,MO
Missouri,Cooper,"Cooper County, Missouri",29053,MO
Missouri,Dade,"Dade County, Missouri",29057,MO
Missouri,Dunklin,"Dunklin County, Missouri",29069,MO
Missouri,Gasconade,"Gasconade County, Missouri",29073,MO
Missouri,Jefferson,"Jefferson County, Missouri",29099,MO
Missouri,Lafayette,"Lafayette County, Missouri",29107,MO
Missouri,Lawrence,"Lawrence County, Missouri",29109,MO
Missouri,Livingston,"Livingston County, Missouri",29117,MO
Missouri,Miller,"Miller County, Missouri",29131,MO
Missouri,Mississippi,"Mississippi County, Missouri",29133,MO
Missouri,Morgan,"Morgan County, Missouri",29141,MO
Missouri,New Madrid,"New Madrid County, Missouri",29143,MO
Missouri,Newton,"Newton County, Missouri",29145,MO
Missouri,Osage,"Osage County, Missouri",29151,MO
Missouri,Pemiscot,"Pemiscot County, Missouri",29155,MO
Missouri,Pettis,"Pettis County, Missouri",29159,MO
Missouri,Polk,"Polk County, Missouri",29167,MO
Missouri,Saline,"Saline County, Missouri",29195,MO
Missouri,St Charles,"St Charles County, Missouri",29183,MO
Missouri,Ste Genevieve,"Ste Genevieve County, Missouri",29186,MO
Missouri,Stoddard,"Stoddard County, Missouri",29207,MO
Montana,Cascade,"Cascade County, Montana",30013,MT
Montana,Chouteau,"Chouteau County, Montana",30015,MT
Montana,Fergus,"Fergus County, Montana",30027,MT
